"","code","name"
"222","x6457","グローリー"
"223","x6460","セガサミー"
"224","x6465","ホシザキ電機"
"225","x6471","日精工"
"226","x6472","ＮＴＮ"
"227","x6473","ジェイテクト"
"228","x6474","不二越"
"229","x6479","ミネベア"
"230","x6481","ＴＨＫ"
"231","x6501","日立"
"232","x6502","東芝"
"233","x6503","三菱電"
"234","x6504","富士電機"
"235","x6506","安川電"
"236","x6508","明電舎"
"237","x6586","マキタ"
"238","x6588","東芝テック"
"239","x6592","マブチ"
"240","x6594","日電産"
"241","x6645","オムロン"
"242","x6674","ＧＳユアサ"
"243","x6701","ＮＥＣ"
"244","x6702","富士通"
"245","x6703","ＯＫＩ"
"246","x6724","エプソン"
"247","x6727","ワコム"
"248","x6752","パナソニック"
"249","x6753","シャープ"
"250","x6754","アンリツ"
"251","x6758","ソニー"
"252","x6762","ＴＤＫ"
"253","x6770","アルプス"
"254","x6773","パイオニア"
"255","x6806","ヒロセ電"
"256","x6841","横河電"
"257","x6845","アズビル"
"258","x6849","日本光電"
"259","x6856","堀場製"
"260","x6857","アドテスト"
"261","x6861","キーエンス"
"262","x6869","シスメックス"
"263","x6902","デンソー"
"264","x6923","スタンレー"
"265","x6925","ウシオ電"
"266","x6952","カシオ"
"267","x6954","ファナック"
"268","x6963","ローム"
"269","x6965","ホトニクス"
"270","x6971","京セラ"
"271","x6976","太陽誘電"
"272","x6981","村田製"
"273","x6988","日東電"
"274","x6995","東海理"
"275","x6996","ニチコン"
"276","x7003","三井造"
"277","x7004","日立造"
"278","x7011","三菱重"
"279","x7012","川重"
"280","x7013","ＩＨＩ"
"281","x7201","日産自"
"282","x7202","いすゞ"
"283","x7203","トヨタ"
"284","x7205","日野自"
"285","x7211","三菱自"
"286","x7230","日信工業"
"287","x7240","ＮＯＫ"
"288","x7251","ケーヒン"
"289","x7259","アイシン"
"290","x7261","マツダ"
"291","x7262","ダイハツ"
"292","x7267","ホンダ"
"293","x7269","スズキ"
"294","x7270","富士重"
"295","x7272","ヤマハ発"
"296","x7276","小糸製"
"297","x7278","エクセディ"
"298","x7282","豊田合"
"299","x7309","シマノ"
"300","x7312","タカタ"
"301","x7313","ＴＳテック"
"302","x7453","良品計画"
"303","x7459","メディパル"
"304","x7518","ネットワン"
"305","x7532","ドンキホーテ"
"306","x7550","ゼンショＨＤ"
"307","x7649","スギＨＤ"
"308","x7701","島津"
"309","x7729","東京精"
"310","x7731","ニコン"
"311","x7733","オリンパス"
"312","x7735","スクリン"
"313","x7741","ＨＯＹＡ"
"314","x7751","キヤノン"
"315","x7752","リコー"
"316","x7762","シチズンＨＤ"
